grupo,categoria,tipo_producto,titulo,pais,revista,ISSN,ano,vol,fasc,pags,autores
URBANITAS,Otros artículos publicados,Periódico de noticias,"Marilyn Manson, un artista contemporáneo",Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2007,1,,d2 - d3,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Revista de divulgación,Una reconfiguración de la educación,Colombia,Revista Pedagógica Escuela Normal Superior Antioqueña Ensa,1909-7999,2006,1,N/A,15 - 20,EDWIN ANDRES SEPULVEDA CARDONANA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,"Violencia en la relación de pareja: tipos, manifestaciones e intervenciones. Revisión documental",Colombia,Revista Tempus Psicológico,2619-6336,2022,5,2,120 - 135,"ALEXANDER RODRIGUEZ BUSTAMANTE, LUISA FERNANDA CORREA PEREZNA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Acompañamiento terapéutico fuera de los límites del consultorio: una experiencia vital in situ,Colombia,Revista Criterios,2256-1161,2021,28,N/A,140 - 149,"GLORIA MARIA LOPEZ ARBOLEDA, ALEXANDER RODRIGUEZ BUSTAMANTE, ALEXANDER OSPINA GARCIANA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,"El sentido de vida, una condición existencial",Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2021,41,,149 - 155,"PAULA ANDREA VANEGAS RIVAS, JUAN SEBASTIAN MARIN RODRIGUEZNA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Autocuidado en el psicólogo,Colombia,(16920945) Poiésis: Revista Electrónica de Psicología Social,1692-0945,2020,39,,-,ALEXANDER RODRIGUEZ BUSTAMANTENA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Salud mental en el profesional psicosocial.,Colombia,(16920945) Poiésis: Revista Electrónica de Psicología Social,1692-0945,2020,39,,-,ALEXANDER RODRIGUEZ BUSTAMANTENA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Herramientas de autocuidado para el profesional psicosocial como factor protector de su salud mental y bienestar.,Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2020,39,,168 - 186,ALEXANDER RODRIGUEZ BUSTAMANTENA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Características neuro-psicopedagógicas de las dificultades de aprendizaje escolar: un estudio de caso,Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2020,39,"NA",187 - 204,DUBIS MARCELA RINCON BARRETONA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,El autocuidado como un componente de la salud mental del psicólogo desde una perspectiva biopsicosocial.,Colombia,(16920945) Poiésis: Revista Electrónica de Psicología Social,1692-0945,2020,39,,-,ALEXANDER RODRIGUEZ BUSTAMANTENA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,La pareja: un proyecto conversacional y de con-vivencia en la modernidad líquida,Colombia,Revista Trabajo Social Universidad De Antioquia,1794-984X,2020,28,,129 - 142,"ALEXANDER RODRIGUEZ BUSTAMANTE, GLORIA MARIA LOPEZ ARBOLEDA, GERMAN DARIO HERRERA SARAYNA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,"Separación conyugal, efectos en la salud mental de los hijos.",Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2020,38,,107 - 129,ALEXANDER RODRIGUEZ BUSTAMANTENA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,La literatura como moldeadora de identidades juveniles,Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2020,38,,31 - 41,"GLORIA MARIA LOPEZ ARBOLEDA, ALEXANDER RODRIGUEZ BUSTAMANTENA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,"Estrategias artísticas en promoción de la salud: la experiencia con víctimas de violencia en San Carlos, Antioquia, Colombia, 2017-2018",México,ASTROLABIO  REVISTA DE CIENCIAS Y HUMANIDADES,2594-231x,2020,1,5,12 - 21,"DAVID IGNACIO MOLINA VELASQUEZ, SILVIA PAULINA DIAZ MOSQUERA, MARIA EUGENIA HINCAPIE ZAPATA, ALEJANDRA MILENA VALENCIA GONZALEZNA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,La metáfora en terapia familiar: fundamentos para la intervención,Colombia,Revista Facultad De Trabajo Social Upb,0121-1722,2019,35,35,80 - 105,ALEXANDER RODRIGUEZ BUSTAMANTENA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Periódico de noticias,La importancia de las revistas de divulgación en la formación profesional,Colombia,Poiésis,1692-0945,2018,34,,6 - 7,SANDRA MILENA RESTREPO ESCOBARNA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Educación virtual: un campo para innovar en prevención del consumo de sustancias psicoactivas,Colombia,XX Encuentro Nacional de Investigación,2463-0004,2017,1,"NA",36 - 42,SANDRA MILENA RESTREPO ESCOBARNA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Una mirada del habitante de calle más allá del estigma social. Aportes a la política pública social.,Colombia,XX Encuentro Nacional de Investigación,2463-0004,2017,1,"NA",113 - 117,SANDRA MILENA RESTREPO ESCOBARNA
