revista,ISSN,categoria,SJR_Q,cantidad,porcentaje
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,1463-9084,A1,Q1,1,0.2
INTERNATIONAL JOURNAL OF PSYCHOLOGY,1464-066X,A1,Q1,1,0.2
THE LANCET NEUROLOGY,1474-4422,A1,Q1,1,0.2
REVISTA BRASILEIRA DE PSIQUIATRIA,1516-4446,A2,Q2,1,0.2
ORGANOMETALLICS,1520-6041,A1,Q1,1,0.2
ORGANIC LETTERS,1523-7060,A1,Q1,1,0.2
ADDICTIVE DISORDERS AND THEIR TREATMENT,1531-5754,B,Q4,1,0.2
GLOBAL MEDIA JOURNAL,1550-7521,Sin categoria,Sin categoria,1,0.2
ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE,1554-8716,C,Q3,1,0.2
INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,1557-1882,A2,Q2,1,0.2
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,1573-2975,A2,Q2,1,0.2
REVISTA DE NEUROLOGIA,1576-6578,B,Q3,1,0.2
PALOBRA,1657-0111,Sin categoria,Sin categoria,1,0.2
ARCHIVOS DE MEDICINA,1657-320X,C,Sin categoria,1,0.2
"CUADERNOS HISPANOAMERICANOS DE
PSICOLOGÍA",1657-3412,C,Sin categoria,1,0.2
DESDE EL JARDÍN DE FREUD,1657-3986,Sin categoria,Sin categoria,1,0.2
PLUMILLA EDUCATIVA,1657-4672,Sin categoria,Sin categoria,1,0.2
HISTORIA CIENCIAS SAUDE MANGUINHOS,1678-4758,A2,Q2,1,0.2
INTERNATIONAL JOURNAL OF CHEMICAL ENGINEERING,1687-8078,A2,Q3,1,0.2
COMUNIDAD Y SALUD,1690-3293,Sin categoria,Sin categoria,1,0.2
INGENIUM,1692-0899,Sin categoria,Sin categoria,1,0.2
REVISTA ITECKNE,1692-1798,Sin categoria,Sin categoria,1,0.2
REVISTA FILOSOFÍA UIS,1692-2484,Sin categoria,Sin categoria,1,0.2
ENCUENTROS,1692-5858,B,Sin categoria,1,0.2
"REVISTA LATINOAMERICANA DE CIENCIAS
SOCIALES, NIÑEZ Y JUVENTUD",1692-715X,B,Q3,1,0.2
REVISTA CRIMINALIDAD,1794-3108,B,Q4,1,0.2
CUADERNOS DE LITERATURA DEL CARIBE E HISPANOAMÉRICA,1794-8290,Sin categoria,Sin categoria,1,0.2
SOPHIA: EDUCACIÓN,1794-8932,Sin categoria,Sin categoria,1,0.2
REVISTA DE ECONOMIA E SOCIOLOGIA RURAL,1806-9479,Sin categoria,Sin categoria,1,0.2
INVESTIGACION Y DESARROLLO,1814-6333,Sin categoria,Sin categoria,1,0.2
JOURNAL OF ENGINEERING AND APPLIED SCIENCES,1816-949X,Sin categoria,Sin categoria,1,0.2
MEMORIA AMERICANA,1851-3751,Sin categoria,Sin categoria,1,0.2
REVISTA ARGENTINA DE CLINICA PSICOLOGICA,1851-7951,B,-,1,0.2
CHEMISTRY AN ASIAN JOURNAL,1861-471X,A1,Q1,1,0.2
REVISTA IBEROAMERICANA DE TEOLOGÍA,1870-316X,Sin categoria,Sin categoria,1,0.2
REVISTA MEXICANA DE FISICA E,1870-3542,C,Q4,1,0.2
SOLID STATE SCIENCES,1873-3085,A2,Sin categoria,1,0.2
ENTRAMADO,1900-3803,B,Sin categoria,1,0.2
COLOMBIA INTERNACIONAL,1900-6004,A1,Sin categoria,1,0.2
REVISTA EDUCACIÓN EN INGENIERÍA,1900-8260,Sin categoria,Sin categoria,1,0.2
PRODUCCION + LIMPIA,1909-0455,C,Q4,1,0.2
INGENIARE,1909-2458,C,Sin categoria,1,0.2
TECCIENCIA,1909-3667,Sin categoria,Sin categoria,1,0.2
PLOS ONE,1932-6203,A1,Q1,1,0.2
PAIDEIA,1982-4327,B,Q4,1,0.2
REVISTA DE DIREITO ESTADO E TELECOMUNICACOES,1984-9729,C,Q3,1,0.2
