nombre_revista,clasificacion,ano,ISSN
Voces Y Silencios,C,2016,22158421
Revista Via Iuris,C,2016,19095759
Spei Domus,C,2016,17947928
Memorias,C,2016,01244361
Ingenieria Solidaria,C,2016,19003102
Revista Civilizar De Empresa Y Economía,C,2016,21456194
Revista Medica De Risaralda,B,2016,01220667
Textos Y Sentidos,C,2016,22158812
Entre Ciencia E Ingenieria,B,2016,19098367
Revista Respuestas,C,2017,0122820X
Revista Colombiana De Tecnologías De Avanzada,C,2017,16927257
Revista Mvz Córdoba,B,2017,01220268
El Ágora Usb,B,2018,16578031
Apuntes Del Cenes,B,2017,01203053
Ciencia En Desarrollo,C,2017,01217488
Cuadernos De Lingüística Hispánica,C,2018,0121053X
"Revista De Investigacion, Desarrollo E Innovacion",C,2017,20278306
Ingeniería Y Competitividad,C,2018,01233033
Sociedad Y Economía,B,2018,16576357
Sociedad Y Economía,B,2017,16576357
Revista Latinoamericana De Etnomatemática,B,2017,20115474
Clio América,C,2018,1909941X
Clio América,C,2017,1909941X
Pensando Psicologia,C,2017,19003099
Revista Eia,B,2017,17941237
Revista Psicogente,C,2017,01240137
Investigación Y Educación En Enfermería,B,2017,01205307
Iatreia,C,2018,01210793
Investigación Y Educación En Enfermería,B,2018,01205307
Iatreia,C,2017,01210793
Íkala,B,2017,01233432
Ces Medicina,C,2017,22159177
Revista Ces Medicina Veterinaria Y Zootecnia,C,2017,19009607
Entramado,B,2017,19003803
Diálogos De Saberes,C,2017,01240021
Academia & Derecho,B,2018,22158944
Revista Colombiana De Cardiología,C,2017,01205633
Historia Caribe,C,2018,01228803
Historia Caribe,C,2017,01228803
Antípoda : Revista De Antropología Y Arqueología,B,2018,19005407
Historia Crítica,C,2018,01211617
Revista De Educación En Ingeniería,C,2017,19008260
Prolegomenos : Derechos Y Valores,C,2018,0121182X
Prolegomenos : Derechos Y Valores,C,2017,0121182X
Revista Colombiana De Sociología,C,2018,0120159X
Ideas Y Valores,C,2017,01200062
Ensayos De Economía,C,2017,0121117X
Infectio,B,2017,01239392
Acta Médica Colombiana,C,2018,01202448
Universitas Scientiarum,A2,2018,01227483
Magis - Revista Internacional De Investigación En Educación,C,2017,20271174
Revista Gerencia Y Políticas De Salud,C,2018,16577027
"Tea Tecné, Episteme Y Didaxis",B,2017,01213814
Folios,B,2017,01234870
"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",B,2018,03703908
Revista Republicana,C,2017,19094450
Revista Iteckne,C,2018,16921798
Infancias Imágenes,C,2017,16579089
Colombian Applied Linguistics Journal,B,2017,01234641
Memorias,C,2017,17948886
"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",B,2018,1692715X
Ánfora,C,2017,01216538
Boletín De Geología,C,2018,01200283
Escritos,C,2017,01201263
Informes Psicológicos,C,2017,21453535
Dikaion - Lo Justo,C,2018,01208942
Revista Guillermo De Ockman,C,2018,1794192X
Livestock Research For Rural Development,C,2018,01213784
Praxis & Saber,C,2017,22160159
Revista Facultad De Ingeniería,C,2018,01211129
Perspectiva Geográfica,C,2018,01233769
Ciencia En Desarrollo,C,2018,01217488
Revista Historia De La Educación Latinoamericana,B,2017,01227238
Lenguaje,C,2017,01203479
Cuadernos De Administración,B,2017,01204645
Revista Kavilando,C,2018,20272391
Trashumante,A2,2017,23229381
Revista Colombiana De Ciencias Pecuarias,B,2017,01200690
Diálogos De Saberes,C,2018,01240021
Revista Lasallista De Investigación,C,2018,17944449
Encuentros,C,2018,16925858
Encuentros,C,2017,16925858
Revista Criminalidad,B,2018,17943108
Desarrollo Y Sociedad,C,2017,01203584
Revista Derecho Del Estado,A2,2018,01229893
Discusiones Filosóficas,C,2018,01246127
Turismo Y Sociedad,C,2018,01207555
Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,B,2017,16574702
Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,C,2017,01202952
Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,B,2018,01200011
Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,C,2018,01202952
Ideas Y Valores,C,2018,01200062
Cuadernos De Geografía,B,2017,0121215X
Ingeniería E Investigación,B,2017,01205609
Acta Biológica Colombiana,B,2017,0120548X
Profile,B,2017,16570790
Acta Colombiana De Psicología,B,2018,01239155
Finanzas Y Política Económica,B,2017,22486046
Acta Colombiana De Psicología,B,2017,01239155
Universitas Psychologica,B,2018,16579267
