revista,categoria,ano,ISSN
BRITISH JOURNAL OF SURGERY,A1,2021,0007-1323; 1365-2168
BRITISH MEDICAL BULLETIN,A1,2021,0007-1420; 1471-8391
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,A1,2021,0007-2303; 1533-4465
BRYOLOGIST,A1,2021,0007-2745; 1938-4378
BULLETIN DES SCIENCES MATHEMATIQUES,A1,2021,0007-4497; 1952-4773
BULLETIN OF ENTOMOLOGICAL RESEARCH,A1,2021,0007-4853; 1475-2670
BULLETIN OF INDONESIAN ECONOMIC STUDIES,A1,2021,0007-4918; 1472-7234
BURLINGTON MAGAZINE,A1,2021,0007-6287; 2044-9925
BUSINESS AND SOCIETY,A1,2021,0007-6503; 1552-4205
BUSINESS HISTORY,A1,2021,0007-6791; 1743-7938
BUSINESS HISTORY REVIEW,A1,2021,0007-6805; 2044-768X
BUSINESS HORIZONS,A1,2021,0007-6813; 1873-6068
CIRP ANNALS MANUFACTURING TECHNOLOGY,A1,2021,0007-8506; 1726-0604
CA A CANCER JOURNAL FOR CLINICIANS,A1,2021,0007-9235; 1542-4863
CALCOLO,A1,2021,0008-0624; 1126-5434
CALIFORNIA LAW REVIEW,A1,2021,0008-1221; 1942-6542
CALIFORNIA MANAGEMENT REVIEW,A1,2021,0008-1256; 2162-8564
CANADIAN FAMILY PHYSICIAN,A1,2021,0008-350X; 1715-5258
CANADIAN GEOTECHNICAL JOURNAL,A1,2021,0008-3674; 1208-6010
THE CANADIAN HISTORICAL REVIEW,A1,2021,0008-3755; 1710-1093
CANADIAN JOURNAL OF AFRICAN STUDIES,A1,2021,0008-3968
CANADIAN JOURNAL OF EARTH SCIENCES,A1,2021,0008-4077; 1480-3313
CANADIAN JOURNAL OF MATHEMATICS,A1,2021,0008-414X; 1496-4279
STUDIES IN RELIGION SCIENCES RELIGIEUSES,A1,2021,0008-4298; 2042-0587
CANADIAN JOURNAL OF ZOOLOGY,A1,2021,0008-4301; 1480-3283
CMAJ,A1,2021,"0008-4409; 0820-3946;
1488-2329"
CANADIAN MODERN LANGUAGE REVIEW,A1,2021,0008-4506; 1710-1131
CANCER,A1,2021,0008-543X; 1097-0142
JOURNAL OF CANCER RESEARCH,A1,2021,0008-5472
CARBON,A1,2021,0008-6223; 1873-3891
CARDIOVASCULAR RESEARCH,A1,2021,0008-6363; 1755-3245
CARIES RESEARCH,A1,2021,0008-6568; 1421-976X
CEMENT AND CONCRETE RESEARCH,A1,2021,0008-8846; 1873-3948
THE CHAUCER REVIEW,A1,2021,0009-2002; 1528-4204
CHEMICAL ENGINEERING SCIENCE,A1,2021,0009-2509; 1873-4405
CHEMICAL GEOLOGY,A1,2021,0009-2541; 1872-6836
CHEMICAL REVIEWS,A1,2021,0009-2665; 1520-6890
BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,A1,2021,0009-2673; 1348-0634
CHEMICO BIOLOGICAL INTERACTIONS,A1,2021,0009-2797; 1872-7786
CHILD DEVELOPMENT,A1,2021,0009-3920; 1467-8624
CHILD PSYCHIATRY AND HUMAN DEVELOPMENT,A1,2021,0009-398X; 1573-3327
CHROMOSOMA,A1,2021,0009-5915; 1432-0886
CIRCULATION,A1,2021,0009-7322; 1524-4539
CIRCULATION RESEARCH,A1,2021,0009-7330; 1524-4571
CLASSICAL JOURNAL,A1,2021,0009-8353; 2327-5812
CLASSICAL PHILOLOGY,A1,2021,0009-837X; 1546-072X
CLASSICAL QUARTERLY,A1,2021,0009-8388; 1471-6844
CLASSICAL WORLD,A1,2021,0009-8418; 1558-9234
CLINICA CHIMICA ACTA,A1,2021,0009-8981; 1873-3492
CLINICAL CHEMISTRY,A1,2021,0009-9147; 1530-8561
CLINICAL GENETICS,A1,2021,0009-9163; 1399-0004
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,A1,2021,0009-921X; 1528-1132
CLINICAL PHARMACOLOGY AND THERAPEUTICS,A1,2021,0009-9236; 1532-6535
COGNITION,A1,2021,0010-0277; 1873-7838
COGNITIVE PSYCHOLOGY,A1,2021,0010-0285; 1095-5623
COLLEGE AND RESEARCH LIBRARIES,A1,2021,0010-0870; 2150-6701
COLLEGE COMPOSITION AND COMMUNICATION,A1,2021,0010-096X; 1939-9006
COLLEGE ENGLISH,A1,2021,0010-0994; 2161-8178
COLUMBIA LAW REVIEW,A1,2021,0010-1958; 1945-2268
COMBUSTION AND FLAME,A1,2021,0010-2180; 1556-2921
COMBUSTION SCIENCE AND TECHNOLOGY,A1,2021,0010-2202; 1563-521X
COMMENTARII MATHEMATICI HELVETICI,A1,2021,0010-2571; 1420-8946
COMMUNICATIONS IN MATHEMATICAL PHYSICS,A1,2021,0010-3616; 1432-0916
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,A1,2021,0010-3640; 1097-0312
COMPARATIVE EDUCATION REVIEW,A1,2021,0010-4086; 1545-701X
COMPARATIVE LITERATURE,A1,2021,0010-4124; 1945-8517
COMPARATIVE POLITICAL STUDIES,A1,2021,0010-4140; 1552-3829
COMPARATIVE POLITICS,A1,2021,0010-4159; 2151-6227
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,A1,2021,0010-4175; 1475-2999
COMPOSITIO MATHEMATICA,A1,2021,0010-437X; 1570-5846
COMPREHENSIVE PSYCHIATRY,A1,2021,0010-440X; 1532-8384
CAD COMPUTER AIDED DESIGN,A1,2021,0010-4485; 1879-2685
COMPUTER PHYSICS COMMUNICATIONS,A1,2021,0010-4655; 1879-2944
COMPUTERS IN BIOLOGY AND MEDICINE,A1,2021,0010-4825; 1879-0534
CONDOR,A1,2021,0010-5422; 1938-5129
CONTEMPORARY LITERATURE,A1,2021,0010-7484; 1548-9949
CONTEMPORARY PHYSICS,A1,2021,0010-7514; 1366-5812
CONTRACEPTION,A1,2021,0010-7824; 1879-0518
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,A1,2021,0010-7999; 1432-0967
COOPERATION AND CONFLICT,A1,2021,0010-8367; 1460-3691
COORDINATION CHEMISTRY REVIEWS,A1,2021,0010-8545; 1873-3840
CORNELL LAW REVIEW,A1,2021,0010-8847
CORROSION SCIENCE,A1,2021,0010-938X; 1879-0496
CORTEX,A1,2021,0010-9452; 1973-8102
BULLETIN OF THE COUNCIL FOR RESEARCH IN MUSIC EDUCATION,A1,2021,0010-9894; 2162-7223
COUNSELING PSYCHOLOGIST,A1,2021,0011-0000; 1552-3861
COUNSELOR EDUCATION AND SUPERVISION,A1,2021,0011-0035; 1556-6978
CRIME AND DELINQUENCY,A1,2021,0011-1287; 1552-387X
CRIMINOLOGY,A1,2021,0011-1384; 1745-9125
CRITIQUE STUDIES IN CONTEMPORARY FICTION,A1,2021,0011-1619; 1939-9138
CROP SCIENCE,A1,2021,0011-183X; 1435-0653
CRYOBIOLOGY,A1,2021,0011-2240; 1090-2392
CURATOR THE MUSEUM JOURNAL,A1,2021,0011-3069; 2151-6952
CURRENT ANTHROPOLOGY,A1,2021,0011-3204; 1537-5382
CURRENT SOCIOLOGY,A1,2021,0011-3921; 1461-7064
DECISION SCIENCES,A1,2021,0011-7315; 1540-5915
DENTAL CLINICS OF NORTH AMERICA,A1,2021,0011-8532
DESALINATION,A1,2021,0011-9164; 1873-4464
DEVELOPMENT AND CHANGE,A1,2021,0012-155X; 1467-7660
DEVELOPMENT GROWTH AND DIFFERENTIATION,A1,2021,0012-1592; 1440-169X
DEVELOPMENTAL BIOLOGY,A1,2021,0012-1606; 1095-564X
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,A1,2021,0012-1622; 1469-8749
DEVELOPMENTAL PSYCHOLOGY,A1,2021,0012-1649; 1939-0599
DIABETES,A1,2021,0012-1797; 1939-327X
DIABETOLOGIA,A1,2021,0012-186X; 1432-0428
DIALECTICA,A1,2021,0012-2017; 1746-8361
DICKENSIAN,A1,2021,0012-2440
DISCRETE MATHEMATICS,A1,2021,0012-365X; 1872-681X
CHEST,A1,2021,0012-3692; 1931-3543
DISEASES OF THE COLON AND RECTUM,A1,2021,0012-3706; 1530-0358
DISSERTATIONES MATHEMATICAE,A1,2021,0012-3862; 1730-6310
DRUGS,A1,2021,0012-6667; 1179-1950
DUKE LAW JOURNAL,A1,2021,0012-7086; 1939-9111
DUKE MATHEMATICAL JOURNAL,A1,2021,0012-7094; 1547-7398
EARLY AMERICAN LITERATURE,A1,2021,0012-8163; 1534-147X
EARTH AND PLANETARY SCIENCE LETTERS,A1,2021,0012-821X; 1385-013X
EARTH SCIENCE REVIEWS,A1,2021,0012-8252; 1872-6828
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,A1,2021,0012-9593; 1873-2151
ECOLOGICAL MONOGRAPHS,A1,2021,0012-9615; 1557-7015
ECOLOGY,A1,2021,0012-9658; 1939-9170
ECONOMETRICA,A1,2021,0012-9682; 1468-0262
ECONOMIC BOTANY,A1,2021,0013-0001; 1874-9364
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,A1,2021,0013-0079; 1539-2988
ECONOMIC GEOGRAPHY,A1,2021,0013-0095; 1944-8287
ECONOMIC HISTORY REVIEW,A1,2021,0013-0117; 1468-0289
ECONOMIC JOURNAL,A1,2021,0013-0133; 1468-0297
ECONOMICA,A1,2021,0013-0427; 1468-0335
EDUCATION AND URBAN SOCIETY,A1,2021,0013-1245; 1552-3535
EDUCATIONAL ADMINISTRATION QUARTERLY,A1,2021,0013-161X; 1552-3519
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,A1,2021,0013-1644; 1552-3888
EDUCATIONAL RESEARCHER,A1,2021,0013-189X; 1935-102X
EDUCATIONAL REVIEW,A1,2021,0013-1911; 1465-3397
EDUCATIONAL STUDIES IN MATHEMATICS,A1,2021,0013-1954; 1573-0816
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,A1,2021,0013-4651; 1945-7111
ELECTROCHIMICA ACTA,A1,2021,0013-4686; 1873-3859
ELEMENTARY SCHOOL JOURNAL,A1,2021,0013-5984; 1554-8279
ENDOCRINOLOGY,A1,2021,0013-7227; 1945-7170
ENDOSCOPY,A1,2021,0013-726X; 1438-8812
ENGINEERING FRACTURE MECHANICS,A1,2021,0013-7944; 1873-7315
ENGINEERING GEOLOGY,A1,2021,0013-7952; 1872-6917
ENGLISH LANGUAGE NOTES,A1,2021,0013-8282; 2573-3575
ELH ENGLISH LITERARY HISTORY,A1,2021,0013-8304; 1080-6547
ENGLISH LITERATURE IN TRANSITION 1880 1920,A1,2021,0013-8339; 1559-2715
ENVIRONMENT AND BEHAVIOR,A1,2021,0013-9165; 1552-390X
ENVIRONMENTAL RESEARCH,A1,2021,0013-9351; 1096-0953
ENVIRONMENTAL SCIENCE TECHNOLOGY,A1,2021,0013-936X; 1520-5851
EPILEPSIA,A1,2021,0013-9580; 1528-1167
ERGONOMICS,A1,2021,0014-0139; 1366-5847
ESPRIT CREATEUR,A1,2021,0014-0767; 1931-0234
